ModelName,Carrier,Storage,Color,Value,ItemDescription
iPhone 7 Plus,unlocked,32 GB,black,329.99,Near Mint condition.  Phones will have very minimal wear on the housing or screen.
iPhone 8 Plus,at&t,64 GB,space gray,22.5,Crack Glass And Lcd Wont Turn On As-Is iCloud Locked Wont Read iTunes As-Is No Returns
iPhone 6,unlocked,16 GB,gray,69.99,"Space Gray; iPhone 6; Model: MN1M2LL/A, iOS Ver 12.4,  16 GB; In excellent condition"
iPhone 6s Plus,sprint,64 GB,rose gold,212.49,"This Sprint Rose Gold 64GB Apple iPhone 6S Plus is in EXCELLENT cosmetic condition. This phone was a store model. The front glass has some light surface scratches scattered around from handling while on display but they are light and otherwise the screen looks and works perfect. The body is perfect. Overall the phone looks awesome. It does not come with the original box, but it does come with an OEM Apple USB cable and an OEM Apple Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty! I AM INCLUDING A SUPER NICE TEMPERED GLASS SCREEN PROTECTOR WITH THE SALE AS WELL!"
iPhone 7 Plus,unlocked,128 GB,black,325,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone X,sprint,64 GB,space gray,200,iPhone x 64gb space gray sprint activation on. you buying this device for parts due it activation on !!! phone is used it has scratches on the side and on the screen . no box no accessories
iPhone Xs,verizon,256 GB,gold,810,"This unit has been data wiped and restored to factory settings. This unit shows light signs of use including multiple scratches on the screen. This unit includes the AC Adapter, Lightning Cable, and Earphones. This unit comes packaged in its original box."
iPhone 6 Plus,unlocked,64 GB,space gray,141.49,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 6s Plus,verizon,64 GB,space gray,179.99,"These devices have minor signs of wear from normal use. There may be some scratches or dings on the device, but nothing major. These devices are guaranteed to be functional and to have a clean ESN ready to activate with the listed carrier."
iPhone 6,unlocked,16 GB,gray,69.99,"Space Gray; iPhone 6; Model: MN1M2LL/A, iOS Ver 12.4,  16 GB; In excellent condition"
iPhone 6s Plus,unlocked,16 GB,space gray,91,"Please read the description below for exact details about the issues with this device. The device has the following issues: Digitizer, Home Button, Loud Speaker, Touch ID, Vibrate Motor"
iPhone 7 Plus,unlocked,32 GB,rose gold,284.99,"Gently Used - Tested Working and fully functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be used Worldwide on ANY GSM NETWORK."
iPhone 8,unlocked,64 GB,gold,430,Apple IPhone 8 A1863 (FACTORY UNLOCKED) 64GB GOLD WITH ALL ORIGINAL  ACCESSORIES. ITEM BODY CONDITION 10/10. JUST NOT INCLUDED ORIGINAL APPLE BOX. THIS IS ACTUAL  PICTURE.
iPhone 8,verizon,64 GB,gold,325,"Phone is in excellent condition with no scratches, dents, or chips."
iPhone 6 Plus,verizon,64 GB,silver,125,Use this for the Kids to play games on or Wifi Use But This Phone CANNOT Be Used On Any US Carrier
iPhone 7 Plus,unlocked,128 GB,rose gold,310,In good shape!!! Does have some normal cosmetic wear and the screen has several cracks (pictured). Hardware has been tested and works perfectly!!! IMEI is clean and no iCloud lock!!! Unlocked from AT&T as of 9/14/2018!!!
iPhone 6s,unlocked,64 GB,space gray,140,"Comes with apple charger, original box, temper glass, wireless charging pack, pop socket, and case."
iPhone 6,unlocked,16 GB,silver,179.99,"iPhone is in very good working and cosmetic condition. No scratches on the screen whatsoever. Battery is in good condition. Minor signs of wear on the aluminum body. As you can see in the pictures, there's a small gap at the bottom of the screen where it connects to the body. The item comes with the original box and original charger (never used). Running iOS 12.4. The item does NOT include headphones and lightning cable. Please see the photos."
iPhone 8 Plus,at&t,64 GB,silver,359.99,"DEVICE CANNOT BE UNLOCKED! FOR USE ON THE AT&T NETWORK ONLY! Device tested 100 percent fully functional. This phone is in good condition with some light markings on the display. Housing shows general wear. Backing has some light markings. Accessories such as SIM Cards and SD Cards are not included. Stock photos used. This device is only guaranteed to work with the carrier that is advertised on this listing and branded on the device.  Due to very specific requirements, we cannot guarantee the device will work with any MVNO pre-paid carrier."
iPhone 7 Plus,at&t,32 GB,jet black,199.97,Fully functional. Works on AT&T or other AT&T MVNO's such as Cricket or Straight Talk but it is NOT GSM unlocked. Factory reset / no icloud lock. Clean ESN / IMEI. Phone only
iPhone 6,at&t,16 GB,gray,70.09,"NOT INCLUDED: USB wall charging block, USB charging cable, headphones & SIM card"
iPhone 7 Plus,verizon,32 GB,rose gold,289,Good condition with ver minor scuffs etc.Normal wear and tear. Please see picture for best description.
iPhone 7 Plus,unlocked,32 GB,rose gold,199.99,This phone has a small crack on the bottom right corner. Could easily be replaced. Otherwise the phone is in good shape! Does not come with charger
iPhone 6s Plus,unlocked,128 GB,rose gold,209.99,"Phone is in great condition. The screen and the housing is in great condition, showing very minor signs of wear.  We grade it an 9/10 cosmetic.  Please refer to auction pictures which are of the actual phone for this listing. Touch ID not functional cannot read finger print."
iPhone 7,sprint,128 GB,rose gold,129.99,This device is in good cosmetic condition with moderate signs of wear due to previous handling. (See photos for more details) Fully tested and functional. It has a bad ESN due to it being financed by Sprint. Does NOT include charging cable
iPhone 6,t-mobile,16 GB,gold,139.97,"This iPhone is only for use with T-Mobile and cannot be Unlocked for use on any other carriers. iPhone has been fully tested and reset to factory settings by a certified technician and is in excellent cosmetic condition with minimal to no scratches, scuffs or blemishes present. Comes with a compatible USB cable and wall adapter. No SIM card is included."
iPhone 8 Plus,unlocked,64 GB,space gray,341.75,Will work with GCI Alaska Carrier only! Free Fast Delivery! Very good cosmetic condition! No cracks! No major damages! See all photos! Read description!
iPhone 6,unlocked,16 GB,gray,69.99,"Space Gray; iPhone 6; Model: MN1M2LL/A, iOS Ver 12.4,  16 GB; In excellent condition"
iPhone 6,at&t,16 GB,gray,179.99,"iPhone is in excellent cosmetic condition, besides a minor crack on the top right corner of the screen near the aluminum body as shown in the picture. No other scratches on the screen whatsoever, Battery is in good condition. The GPS sometimes does NOT work. I tried resetting the iPhone but the problem persisted. So if you use GPS all the time you want to keep this in mind before bidding. There are very minor signs of wear on the aluminum body. The item comes with the original box and original charger (never used). The item does NOT include headphones and lightning cable. Running iOS 12.4. Please see the photos and let me know if you have any questions."
iPhone 6s,unlocked,64 GB,rose gold,64.99,Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) Defects are listed below:
iPhone SE,at&t,32 GB,space gray,147.51,"This AT&T Space Gray 32GB Apple iPhone SE is in NEW cosmetic condition. It looks amazing. I could not find any marks. If there is anything I missed, it is very light. The battery health is at 100% on this phone! It does not come with the original box, but it does come with an Apple OEM USB cable and an Apple OEM Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty! I AM INCLUDING A SUPER NICE TEMPERED GLASS SCREEN PROTECTOR WITH THE SALE AS WELL!"
iPhone 8,t-mobile,64 GB,silver,219.99,"1 CRACK on Screen - Lower Right Corner - Otherwise, VERY Good Condition AND WORKS Fine!"
iPhone 8 Plus,t-mobile,64 GB,red,429.89,"Phone is slightly used. Phone is in good condition 9.5/10 Condition. Phone is fully functional, paid off"
iPhone X,at&t,256 GB,silver,635,"The phone is in Mint condition. It has a small scratch on the upper right corner near the antenna , other than that the phone looks new. Comes with box, lightning cable , charger and 3 cases."
iPhone 8 Plus,at&t,64 GB,red,284.95,Great Condition - Minor wear on sides - Bad ESN - ESN: 354831093733087
iPhone 5c,verizon,8 GB,white,31,"Good condition -7 out of 10 -Scratches, scuffs on body -Does not include charger"
iPhone 8 Plus,verizon,64 GB,silver,295,"EXCELLENT Used condition.  Screen is flawless and housing only has some minor marks.  HOWEVER, THE HOME BUTTON DOES NOT WORK TO ""RETURN TO HOME"" OR FOR TOUCH ID.  YOU MUST USE THE VIRTUAL HOME BUTTON ON THE SCREEN.  Everything else is fully functional.  Clean IMEI. Phone is paid off (not financed).  No iCloud lock."
iPhone Xs Max,unlocked,256 GB,silver,689.99,"New, Open Box! BAD ESN, XFINITY. Phone Still Wrapped In Plastic All Accessories Included!"
iPhone 4S,unlocked,8 GB,black,8.95,"*PLEASE READ* Apple id locked, and the ESN is unknown and subject to change, so it's UNTESTED and being sold for parts as is for parts. Otherwise in good condition with minor scuffs and scratches. iPhone only, no charger."
